"Producer Receipts by State and County*, 2025 (continued)",
October November,
December Annual,
State and county,
No. of Volume,
No. of Volume,
producers of milk producers of milk,
No. of Volume Volume,
producers of milk,
of milk,
"1,000 lbs 1,000 lbs 1,000 lbs",
"1,000 lbs",
"Total/Average 115 44,400 115 42,317 115 43,512 536,186",
Connecticut,
"Hartford 7 635 7 607 7 615 8,133",
"Litchfield 13 7,350 13 7,055 13 7,340 84,825",
"New London 17 10,114 16 9,473 15 9,790 121,525",
"Tolland 7 9,815 7 9,043 7 9,784 116,406",
"Windham 13 7,248 13 6,813 13 7,223 86,144",
"All Other** 2 187 2 181 2 188 2,279",
"Total/Average 59 35,349 58 33,172 57 34,940 419,309",
Maine,
"Androscoggin 9 3,946 9 3,792 9 3,835 46,761",
"Aroostook 5 259 5 250 5 256 3,974",
"Cumberland 7 451 7 415 7 420 6,269",
"Franklin 11 723 11 676 10 703 9,242",
"Kennebec 22 15,258 22 14,703 22 14,637 181,780",
"Penobscot 20 12,343 20 11,764 20 11,958 148,641",
"Piscataquis 4 375 4 350 4 386 4,741",
"Somerset 15 6,706 15 6,227 16 7,078 83,548",
"Waldo 13 3,318 13 3,158 13 3,236 39,096",
"York 3 505 3 465 3 458 5,811",
"All Other** 6 516 6 517 6 545 6,321",
Maryland,
"Baltimore 7 2,226 8 2,408 8 2,814 29,874",
"Caroline 8 4,321 8 4,262 8 4,345 51,555",
"Carroll 23 4,412 25 4,712 25 6,818 67,623",
"Cecil 27 5,654 27 5,561 27 5,871 69,055",
"Frederick 28 5,638 27 6,121 27 7,377 80,242",
"Garrett 5 519 5 515 5 574 6,863",
"Harford 7 1,715 7 1,697 7 1,844 22,080",
"Kent 7 8,473 7 8,312 7 8,915 104,448",
"Queen Anne's 4 446 4 397 4 415 5,889",
"Talbot 3 267 3 277 3 304 3,509",
"Washington 84 18,320 84 17,942 84 19,064 218,381",
"All Other** 4 563 4 563 4 601 7,159",
"Total/Average 207 52,554 209 52,767 209 58,942 666,680",
Massachusetts,
"Berkshire 12 4,590 12 4,443 12 4,548 54,462",
"Bristol 7 1,148 7 1,000 8 1,051 12,757",
"Franklin 17 2,417 17 2,427 17 2,551 30,627",
"Hampden 6 964 6 806 5 791 12,316",
"Hampshire 10 1,949 10 1,905 10 2,038 24,441",
"Middlesex 3 535 3 582 3 588 6,742",
"Worcester 11 1,249 11 1,223 11 1,262 15,322",
"All Other** 1 306 1 252 1 93 3,544",
"Total/Average 67 13,158 67 12,638 67 12,922 160,213",
New Hampshire,
"Cheshire 8 2,257 8 2,193 8 2,267 26,238",
"Coos 7 4,121 7 4,008 7 4,001 49,396",
"Grafton 7 1,913 7 1,906 7 1,998 24,527",
"Merrimack 9 1,824 9 1,714 9 1,780 22,268",
"Strafford 5 511 5 490 5 535 6,349",
"Sullivan 8 2,891 9 2,820 9 3,002 37,049",
"All Other** 8 1,482 8 1,409 7 1,518 21,904",
"Total/Average 52 14,999 53 14,540 52 15,101 187,730",
(Continued on following page),
NORTHEAST FEDERAL ORDER NO. 1502025 ANNUAL STATISTICAL BULLETIN,
29,
"Producer Receipts by State and County*, 2025 (continued)",
October,
November December Annual,
State and county,
No. of Volume,
producers of milk,
No. of Volume No. of Volume,
producers of milk,
producers of milk,
Volume,
of milk,
"1,000 lbs",
"1,000 lbs 1,000 lbs",
"1,000 lbs",
New York,
"Albany 3 2,655 3 2,487 3 2,455 30,590",
"Allegany 23 2,735 24 2,757 25 2,933 56,905",
"Broome 23 14,294 22 14,016 22 14,437 182,914",
"Cattaraugus 27 23,033 27 19,537 27 20,930 226,836",
"Cayuga 67 130,682 67 124,628 67 128,809 1,505,641",
"Chautauqua 25 13,825 24 11,122 22 11,576 138,751",
"Chemung 10 1,752 10 1,595 10 1,744 21,727",
"Chenango 88 12,355 87 11,774 86 12,116 149,237",
"Clinton 51 33,515 51 32,618 51 33,670 393,666",
"Columbia 7 8,676 7 8,527 7 8,782 103,460",
"Cortland 56 33,729 53 31,530 54 32,827 399,610",
"Delaware 47 7,829 46 7,316 45 7,559 95,216",
"Dutchess 12 2,911 12 2,793 12 2,847 35,226",
"Erie 26 16,611 26 15,710 26 16,436 192,842",
"Essex 3 527 3 515 3 543 6,291",
"Franklin 115 39,192 114 37,425 114 38,910 464,978",
"Fulton 5 506 5 489 5 504 6,008",
"Genesee 38 78,294 38 75,133 37 76,319 919,298",
"Greene 7 461 7 404 6 398 5,971",
"Herkimer 85 24,945 84 23,528 75 23,291 294,963",
"Jefferson 88 68,150 87 65,319 67 62,224 773,078",
"Lewis 133 50,146 131 47,393 66 21,667 559,925",
"Livingston 30 47,402 29 46,510 29 48,049 587,330",
"Madison 102 33,274 102 31,665 95 28,310 381,066",
"Monroe 3 1,618 3 1,318 3 1,522 22,456",
"Montgomery 149 29,903 149 28,449 147 28,116 355,276",
"Niagara 4 7,910 4 7,802 4 7,718 89,083",
"Oneida 126 35,749 125 33,850 104 29,971 414,094",
"Onondaga 39 62,256 39 59,455 39 60,266 735,093",
"Ontario 88 62,880 89 62,180 89 64,390 750,879",
"Orange 17 1,769 16 1,657 16 1,702 24,063",
"Orleans 6 4,272 6 4,156 6 4,153 53,902",
"Oswego 13 6,433 12 6,044 11 6,112 74,788",
"Otsego 74 10,814 74 10,357 74 10,707 131,310",
"Rensselaer 23 24,408 22 23,058 22 23,707 291,017",
"Saratoga 10 23,066 10 22,161 10 22,552 278,061",
"Schoharie 30 7,555 30 6,862 29 6,914 89,194",
"Schuyler 10 20,923 10 20,058 10 21,027 247,682",
"Seneca 69 9,265 67 8,608 65 8,977 110,981",
"St. Lawrence 131 80,870 131 78,050 130 80,307 939,564",
"Steuben 78 42,086 77 38,533 77 40,692 489,159",
"Sullivan 12 891 12 866 12 898 11,615",
"Tioga 39 7,087 39 7,043 39 7,482 90,632",
"Tompkins 22 17,650 22 16,538 22 16,495 200,291",
"Washington 66 40,074 63 37,894 63 38,565 467,518",
"Wayne 35 20,346 35 19,773 35 20,250 241,097",
"Wyoming 69 89,683 68 86,249 68 89,536 1,139,659",
"Yates 231 22,796 230 20,626 231 21,718 264,093",
"All Other** 2 182 2 181 2 204 3,001",
Pennsylvania,
"Adams 24 10,618 24 10,082 24 10,514 131,986",
"Allegheny 3 256 3 245 3 266 3,124",
"Bedford 65 6,886 63 6,542 69 9,227 93,117",
"Berks 160 34,839 158 33,783 157 33,567 426,754",
"Blair 66 33,319 66 33,554 68 36,450 399,076",
"Bradford 88 13,116 87 13,075 84 12,739 152,757",
"Bucks 7 701 7 649 7 665 8,889",
"Centre 65 12,025 63 11,401 63 11,887 160,946",
"Chester 186 37,440 184 35,473 183 37,136 455,701",
(Continued on following page),
NORTHEAST FEDERAL ORDER NO. 1,
"Total/Average 2,417 1,277,985 2,394 1,216,559 2,262 1,211,317 15,046,034VOLUME 26 51",
29,
"Producer Receipts by State and County*, 2025 (continued)",
October November December,
Annual,
State and county,
No. of Volume No. of Volume No. of,
producers of milk producers of milk,
Volume,
producers of milk,
Volume,
of milk,
"1,000 lbs",
"1,000 lbs",
"1,000 lbs 1,000 lbs",
Pennsylvania (continued),
"Clinton 45 9,590 45 8,269 45 7,637 98,388",
"Columbia 31 2,274 30 2,233 30 2,340 31,886",
"Crawford 7 8,174 7 4,521 7 4,711 59,802",
"Cumberland 154 37,903 161 36,214 161 38,513 457,660",
"Dauphin 39 6,395 38 6,303 38 6,602 78,260",
"Fayette 5 544 5 371 5 699 5,418",
"Franklin 197 59,201 199 57,316 200 61,370 740,851",
"Fulton 12 4,129 13 4,967 14 4,688 55,639",
"Huntingdon 30 22,980 31 22,947 34 23,444 281,320",
"Juniata 46 9,387 46 8,965 50 9,899 119,900",
"Lackawanna 7 208 7 233 7 237 2,973",
"Lancaster 1,068 171,750 1,066 167,098 1,064 179,749 2,157,708",
"Lebanon 190 47,553 189 46,361 189 48,266 583,673",
