geo_fips,state_abbrev,county_name,total_producers,total_milk_pounds,n_orders,orders,region
27147.0,MN,Steele,8.0,1871647.0,1,FO30,Upper Midwest
27149.0,MN,Stevens,3.0,10065677.0,1,FO30,Upper Midwest
27153.0,MN,Todd,9.0,5848429.0,1,FO30,Upper Midwest
27157.0,MN,Wabasha,26.0,9990964.0,1,FO30,Upper Midwest
27159.0,MN,Wadena,6.0,909534.0,1,FO30,Upper Midwest
27161.0,MN,Waseca,3.0,442072.0,1,FO30,Upper Midwest
27169.0,MN,Winona,67.0,30060899.0,2,FO30+FO32,Upper Midwest
27171.0,MN,Wright,22.0,8255127.0,1,FO30,Upper Midwest
36001.0,NY,Albany,3.0,2455000.0,1,FO1,Northeast
36003.0,NY,Allegany,25.0,2933000.0,1,FO1,Northeast
36007.0,NY,Broome,22.0,14437000.0,1,FO1,Northeast
36009.0,NY,Cattaraugus,52.0,48543664.0,2,FO1+FO33,Northeast
36011.0,NY,Cayuga,67.0,128809000.0,1,FO1,Northeast
36013.0,NY,Chautauqua,62.0,27938385.0,2,FO1+FO33,Northeast
36015.0,NY,Chemung,10.0,1744000.0,1,FO1,Northeast
36017.0,NY,Chenango,86.0,12116000.0,1,FO1,Northeast
36019.0,NY,Clinton,51.0,33670000.0,1,FO1,Northeast
36021.0,NY,Columbia,7.0,8782000.0,1,FO1,Northeast
36023.0,NY,Cortland,54.0,32827000.0,1,FO1,Northeast
36025.0,NY,Delaware,45.0,7559000.0,1,FO1,Northeast
36027.0,NY,Dutchess,12.0,2847000.0,1,FO1,Northeast
36029.0,NY,Erie,31.0,18052348.0,2,FO1+FO33,Northeast
36031.0,NY,Essex,3.0,543000.0,1,FO1,Northeast
36033.0,NY,Franklin,114.0,38910000.0,1,FO1,Northeast
36035.0,NY,Fulton,5.0,504000.0,1,FO1,Northeast
36037.0,NY,Genesee,37.0,76319000.0,1,FO1,Northeast
36039.0,NY,Greene,6.0,398000.0,1,FO1,Northeast
36043.0,NY,Herkimer,75.0,23291000.0,1,FO1,Northeast
36045.0,NY,Jefferson,67.0,62224000.0,1,FO1,Northeast
36049.0,NY,Lewis,66.0,21667000.0,1,FO1,Northeast
36051.0,NY,Livingston,33.0,48994001.0,2,FO1+FO33,Northeast
36053.0,NY,Madison,95.0,28310000.0,1,FO1,Northeast
36055.0,NY,Monroe,3.0,1522000.0,1,FO1,Northeast
36057.0,NY,Montgomery,147.0,28116000.0,1,FO1,Northeast
36063.0,NY,Niagara,4.0,7718000.0,1,FO1,Northeast
36065.0,NY,Oneida,104.0,29971000.0,1,FO1,Northeast
36067.0,NY,Onondaga,39.0,60266000.0,1,FO1,Northeast
36069.0,NY,Ontario,95.0,65301405.0,2,FO1+FO33,Northeast
