order,order_name,year,month,geo_fips,state_fips,county_fips,state_abbrev,county_name,producers,milk_pounds,row_type,mappable
1,Northeast,2025,December,42071.0,42,71.0,PA,Lancaster,1064.0,179749000.0,county,1
1,Northeast,2025,December,42075.0,42,75.0,PA,Lebanon,189.0,48266000.0,county,1
1,Northeast,2025,December,42077.0,42,77.0,PA,Lehigh,8.0,1202000.0,county,1
1,Northeast,2025,December,42079.0,42,79.0,PA,Luzerne,9.0,1026000.0,county,1
1,Northeast,2025,December,42081.0,42,81.0,PA,Lycoming,42.0,4228000.0,county,1
1,Northeast,2025,December,42083.0,42,83.0,PA,McKean,5.0,287000.0,county,1
1,Northeast,2025,December,42085.0,42,85.0,PA,Mercer,6.0,268000.0,county,1
1,Northeast,2025,December,42087.0,42,87.0,PA,Mifflin,104.0,14984000.0,county,1
1,Northeast,2025,December,42091.0,42,91.0,PA,Montgomery,6.0,707000.0,county,1
1,Northeast,2025,December,42093.0,42,93.0,PA,Montour,19.0,2276000.0,county,1
1,Northeast,2025,December,42095.0,42,95.0,PA,Northampton,6.0,383000.0,county,1
1,Northeast,2025,December,42097.0,42,97.0,PA,Northumberland,17.0,1871000.0,county,1
1,Northeast,2025,December,42099.0,42,99.0,PA,Perry,63.0,17831000.0,county,1
1,Northeast,2025,December,42105.0,42,105.0,PA,Potter,10.0,10167000.0,county,1
1,Northeast,2025,December,42107.0,42,107.0,PA,Schuylkill,17.0,2860000.0,county,1
1,Northeast,2025,December,42109.0,42,109.0,PA,Snyder,34.0,4491000.0,county,1
1,Northeast,2025,December,42111.0,42,111.0,PA,Somerset,38.0,4238000.0,county,1
1,Northeast,2025,December,42113.0,42,113.0,PA,Sullivan,3.0,139000.0,county,1
1,Northeast,2025,December,42115.0,42,115.0,PA,Susquehanna,51.0,5069000.0,county,1
1,Northeast,2025,December,42117.0,42,117.0,PA,Tioga,46.0,5256000.0,county,1
1,Northeast,2025,December,42119.0,42,119.0,PA,Union,98.0,14995000.0,county,1
1,Northeast,2025,December,42127.0,42,127.0,PA,Wayne,22.0,1487000.0,county,1
1,Northeast,2025,December,42131.0,42,131.0,PA,Wyoming,17.0,994000.0,county,1
1,Northeast,2025,December,42133.0,42,133.0,PA,York,68.0,9518000.0,county,1
1,Northeast,2025,December,,42,,PA,,11.0,2776000.0,restricted_aggregate,0
1,Northeast,2025,December,50001.0,50,1.0,VT,Addison,53.0,64011000.0,county,1
1,Northeast,2025,December,50003.0,50,3.0,VT,Bennington,3.0,1397000.0,county,1
1,Northeast,2025,December,50005.0,50,5.0,VT,Caledonia,29.0,7223000.0,county,1
